city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Auckland,,2010/03/11,423794,male,4.0,RS Madugalle,D/L,,,CL White,EA Watkin,2009/10,Chappell-Hadlee Trophy,New Zealand,Australia,field,Australia,CB Gaffaney,Asad Rauf,GAV Baxter,Eden Park,Australia,,6.0,2010
Wellington,,2010/03/13,423795,male,5.0,RS Madugalle,,,,TG Southee,WR Knights,2009/10,Chappell-Hadlee Trophy,New Zealand,Australia,field,Australia,EA Watkin,Asad Rauf,GAV Baxter,Westpac Stadium,New Zealand,51.0,,2010
Dublin,,2010/06/17,426384,male,,BC Broad,,,,JR Hopes,L Fourie,2010,,Ireland,Australia,bat,Australia,,RA Kettleborough,NJ Llong,Clontarf Cricket Club Ground,Australia,39.0,,2010
Southampton,,2010/06/22,426387,male,1.0,J Srinath,,,,EJG Morgan,RA Kettleborough,2010,NatWest Series,England,Australia,bat,Australia,RK Illingworth,Aleem Dar,IJ Gould,The Rose Bowl,England,,4.0,2010
Cardiff,,2010/06/24,426388,male,2.0,J Srinath,,,,SCJ Broad,RK Illingworth,2010,NatWest Series,England,Australia,bat,Australia,IJ Gould,Aleem Dar,NJ Llong,Sophia Gardens,England,,4.0,2010
Manchester,,2010/06/27,426389,male,3.0,J Srinath,,,,GP Swann,NJ Llong,2010,NatWest Series,England,Australia,field,England,RA Kettleborough,Aleem Dar,IJ Gould,Old Trafford,England,,1.0,2010
London,,2010/06/30,426390,male,4.0,J Srinath,,,,RJ Harris,IJ Gould,2010,NatWest Series,England,Australia,field,England,RK Illingworth,Aleem Dar,RA Kettleborough,Kennington Oval,Australia,78.0,,2010
London,,2010/07/03,426391,male,5.0,J Srinath,,,,SW Tait,RK Illingworth,2010,NatWest Series,England,Australia,bat,Australia,RA Kettleborough,Aleem Dar,NJ Llong,Lord's,Australia,42.0,,2010
Nottingham,,2010/07/08,426403,male,1.0,J Srinath,,,,IR Bell,RA Kettleborough,2010,NatWest Series,England,Bangladesh,bat,Bangladesh,RK Illingworth,Asad Rauf,NJ Llong,Trent Bridge,England,,6.0,2010
Bristol,,2010/07/10,426404,male,2.0,J Srinath,,,,Mashrafe Mortaza,NJ Llong,2010,NatWest Series,England,Bangladesh,field,England,RA Kettleborough,Asad Rauf,RK Illingworth,County Ground,Bangladesh,5.0,,2010
Birmingham,,2010/07/12,426405,male,3.0,J Srinath,,,,AJ Strauss,RK Illingworth,2010,NatWest Series,England,Bangladesh,field,Bangladesh,NJ Llong,Asad Rauf,RA Kettleborough,Edgbaston,England,144.0,,2010
Mirpur,,2010/02/28,426420,male,1.0,JJ Crowe,,,,Tamim Iqbal,Tanvir Ahmed,2009/10,England in Bangladesh ODI Series,Bangladesh,England,field,England,Sharfuddoula,Nadir Shah,RJ Tucker,Shere Bangla National Stadium,England,,6.0,2010
Mirpur,,2010/03/02,426421,male,2.0,JJ Crowe,,,,EJG Morgan,Anisur Rahman,2009/10,England in Bangladesh ODI Series,Bangladesh,England,field,England,Sharfuddoula,Nadir Shah,RJ Tucker,Shere Bangla National Stadium,England,,2.0,2010
